Date,Open,High,Low,Close
10/30/2022,"1,627.40","1,639.04","1,577.78","1,595.49"
10/29/2022,"1,560.09","1,661.78","1,548.80","1,627.40"
10/28/2022,"1,527.86","1,571.86","1,486.05","1,561.00"
10/27/2022,"1,554.21","1,583.60","1,510.00","1,527.81"
10/26/2022,"1,473.77","1,591.78","1,451.58","1,554.46"
10/25/2022,"1,351.90","1,523.50","1,335.38","1,473.00"
10/24/2022,"1,330.22","1,369.79","1,324.75","1,351.91"
10/23/2022,"1,316.05","1,335.98","1,301.38","1,330.22"
10/22/2022,"1,302.46","1,319.02","1,295.00","1,316.05"
10/21/2022,"1,281.77","1,306.55","1,255.00","1,302.46"
10/20/2022,"1,293.98","1,310.00","1,271.74","1,281.77"
10/19/2022,"1,314.53","1,314.79","1,288.81","1,293.99"
10/18/2022,"1,330.45","1,340.54","1,287.75","1,314.44"
10/17/2022,"1,311.01","1,337.00","1,292.07","1,330.45"
10/16/2022,"1,280.75","1,314.50","1,263.48","1,311.01"
10/15/2022,"1,302.20","1,302.27","1,278.00","1,280.85"
10/14/2022,"1,293.78","1,342.09","1,282.72","1,302.20"
10/13/2022,"1,298.92","1,302.57","1,194.37","1,294.30"
10/12/2022,"1,282.48","1,305.46","1,274.39","1,298.57"
10/11/2022,"1,307.39","1,309.38","1,268.87","1,282.78"
10/10/2022,"1,320.90","1,337.61","1,296.73","1,307.39"
10/09/2022,"1,325.20","1,328.96","1,305.00","1,320.90"
10/08/2022,"1,332.01","1,337.30","1,319.67","1,325.20"
10/07/2022,"1,364.00","1,364.00","1,318.02","1,332.01"
10/06/2022,"1,345.16","1,383.43","1,345.16","1,363.88"
10/05/2022,"1,361.75","1,367.10","1,316.26","1,346.06"
10/04/2022,"1,324.07","1,367.96","1,315.54","1,362.09"
10/03/2022,"1,303.74","1,329.64","1,264.34","1,323.92"
10/02/2022,"1,309.66","1,317.39","1,287.43","1,303.74"
10/01/2022,"1,331.24","1,333.78","1,303.59","1,309.66"
09/30/2022,"1,338.25","1,372.24","1,315.66","1,331.30"
09/29/2022,"1,351.19","1,354.71","1,289.61","1,338.25"
09/28/2022,"1,324.73","1,353.85","1,259.34","1,351.26"
09/27/2022,"1,325.06","1,399.29","1,305.12","1,324.42"
09/26/2022,"1,292.44","1,340.08","1,269.77","1,325.05"
09/25/2022,"1,342.22","1,342.25","1,283.90","1,293.03"
09/24/2022,"1,301.51","1,348.00","1,299.47","1,342.22"
09/23/2022,"1,324.00","1,356.71","1,263.26","1,301.98"
09/22/2022,"1,313.67","1,335.46","1,222.52","1,324.18"
09/21/2022,"1,343.06","1,410.00","1,307.81","1,313.67"
09/20/2022,"1,357.73","1,391.00","1,330.60","1,342.61"
09/19/2022,"1,370.86","1,371.92","1,282.05","1,357.73"
09/18/2022,"1,462.59","1,473.43","1,367.80","1,370.86"
09/17/2022,"1,436.00","1,474.87","1,409.84","1,462.59"
09/16/2022,"1,504.53","1,504.53","1,409.79","1,436.00"
09/15/2022,"1,603.38","1,653.00","1,461.45","1,504.22"
09/14/2022,"1,607.87","1,622.82","1,554.90","1,603.66"
09/13/2022,"1,724.26","1,757.20","1,573.33","1,607.50"
09/12/2022,"1,759.33","1,780.59","1,695.38","1,724.26"
09/11/2022,"1,734.29","1,788.48","1,734.29","1,759.33"
09/10/2022,"1,721.01","1,744.62","1,706.35","1,734.07"
09/09/2022,"1,644.80","1,742.92","1,627.55","1,720.62"
09/08/2022,"1,638.79","1,661.33","1,597.55","1,644.75"
09/07/2022,"1,580.57","1,653.00","1,492.32","1,641.59"
09/06/2022,"1,598.42","1,685.58","1,558.02","1,579.95"
09/05/2022,"1,571.36","1,609.82","1,558.28","1,598.42"
09/04/2022,"1,552.16","1,582.87","1,540.85","1,571.36"
09/03/2022,"1,571.78","1,585.37","1,536.11","1,552.16"
09/02/2022,"1,581.12","1,648.92","1,547.46","1,568.51"
09/01/2022,"1,572.96","1,584.20","1,515.40","1,580.77"
08/31/2022,"1,558.90","1,619.37","1,517.63","1,572.96"
08/30/2022,"1,546.21","1,604.65","1,477.08","1,557.62"
08/29/2022,"1,483.47","1,551.02","1,423.86","1,546.83"
08/28/2022,"1,481.81","1,510.27","1,459.04","1,483.47"
08/27/2022,"1,557.41","1,561.03","1,448.76","1,480.58"
08/26/2022,"1,708.31","1,710.95","1,541.98","1,557.41"
08/25/2022,"1,683.27","1,721.65","1,654.18","1,707.80"
08/24/2022,"1,649.28","1,692.79","1,605.84","1,683.37"
08/23/2022,"1,578.05","1,667.49","1,564.39","1,649.28"
08/22/2022,"1,618.50","1,644.69","1,531.51","1,578.05"
08/21/2022,"1,531.51","1,640.00","1,529.08","1,618.24"
08/20/2022,"1,686.65","1,690.54","1,531.04","1,531.94"
